x,n,nNx,nDx,nax,nmx,nqx,npx,lx,ndx,nLx,Tx,ex
0,1,379985,3741,0.087,0.00984513,0.00975742,0.99024258,100,0.97574199,99.10914756,7131.02806121,71.31028061
1,4,1559722,770,1.5,4.9368e-4,0.00197228,0.99802772,99.02425801,0.19530324,395.60877394,7031.91891365,71.01208386
5,5,1896295,532,2.5,2.8055e-4,0.00140175,0.99859825,98.82895477,0.1385337,493.79843959,6636.31013972,67.14945185
10,5,2160190,673,2.966,3.1155e-4,0.00155675,0.99844325,98.69042107,0.153636,493.1396097,6142.51170012,62.24020157
15,5,2179837,2138,2.769,9.8081e-4,0.00489333,0.99510667,98.53678506,0.4821729,491.60819758,5649.37209042,57.33262037
20,5,2159556,3432,2.574,0.00158922,0.00791556,0.99208444,98.05461216,0.77615715,488.39010357,5157.76389284,52.60093104
25,5,2106750,3291,2.512,0.00156212,0.00778037,0.99221963,97.27845501,0.75686236,484.5092015,4669.37378928,48.00008171
30,5,2147845,3657,2.586,0.00170264,0.00847834,0.99152166,96.52159265,0.81834257,480.63248428000003,4184.86458778,43.35677099
35,5,2165387,4956,2.657,0.00228874,0.01138264,0.98861736,95.70325008,1.08935587,475.9638896,3704.23210349,38.70539507
40,5,1516952,5269,2.697,0.00347341,0.01722924,0.98277076,94.61389421,1.63012559,469.31529182,3228.26821389,34.12044543
45,5,1498630,8654,2.695,0.00577461,0.02849377,0.97150623,92.98376862,2.64945829,458.81184175,2758.95292207,29.67133902
50,5,1552746,14490,2.663,0.00933185,0.04566342,0.95433658,90.33431033,4.12497361,442.03148834,2300.14108032,25.462541
55,5,1476770,20831,2.625,0.01410578,0.06824271,0.93175729,86.20933673,5.8831587,417.07418171,1858.10959198,21.55346117
60,5,1350479,26805,2.601,0.01984851,0.09473176,0.90526824,80.32617802,7.6094404,383.37584259,1441.03541027,17.93979803
65,5,722430,20233,2.615,0.02800687,0.13126622,0.86873378,72.71673762,9.54525134,340.81826366,1057.65956768,14.544926
70,5,842589,38315,2.598,0.04547294,0.204976,0.795024,63.17148628,12.94863835,284.75480207,716.84130402,11.34754533
75,5,636848,46903,2.538,0.07364866,0.31172109,0.68827891,50.22284793,15.65552066,212.57034776,432.08650195,8.60338511
80,5,372059,44443,2.466,0.11945148,0.45848006,0.54151994,34.56732727,15.84843044,132.67671359,219.51615419,6.35039419
85,Inf,175169,37759,4.639,0.21555755,1,0,18.71889682,18.71889682,86.8394406,86.8394406,4.63913239
